名稱,郵遞區號,地址,電話,網址,經度,緯度
中山運動中心,10412,臺北市中山區中山北路二段44巷2號,2581-1060,https://cssc.cyc.org.tw,121.5192045,25.0548895
北投運動中心,11271,臺北市北投區石牌路一段39巷100號,2820-2880,http://www.btsport.org.tw,121.5073354,25.1126191
中正運動中心,10048,臺北市中正區信義路一段1號,2396-3358,http://www.tpejjsports.com.tw,121.5417485,25.0336278
南港運動中心,11577,臺北市南港區玉成街69號,2653-2279,https://ngsc.cyc.org.tw,121.5796563,25.0489543
萬華運動中心,10841,臺北市萬華區西寧南路6之1號,2375-9900,http://whsc.com.tw,121.5053196,25.0474151
士林運動中心,11168,臺北市士林區士商路1號,2880-6066,http://www.slsc-taipei.org,121.5201025,25.0895603
內湖運動中心,11493,臺北市內湖區洲子街12號,2656-2869,https://nhsc.cyc.org.tw,121.5730155,25.0781209
信義運動中心,11047,臺北市信義區松勤街100號,8786-1911,https://xysc.cyc.org.tw,121.5644689,25.0318152
松山運動中心,10549,臺北市松山區敦化北路1號,6617-6789,http://sssc.com.tw,121.5480423,25.0486118
大同運動中心,10361,臺北市大同區大龍街51號,2592-0055,https://dtsc-wdyg.com.tw,121.513951,25.0648771
大安運動中心,10671,臺北市大安區辛亥路3段55號,2377-0300,https://dasc.cyc.org.tw,121.5434473,25.0207817
文山運動中心,11698,臺北市文山區興隆路三段222號,2230-8268,https://wssc.cyc.org.tw,121.5574843,24.9970214
